日期,交易品种,交易动作,价格,本单收益,总收益
2014/1/6,BU.SHF,open_long,4284,0,0
2014/1/6,ZN.SHF,open_long,15000,0,0
2014/1/6,AL.SHF,open_long,13905,0,0
2014/1/6,CU.SHF,open_long,51770,0,0
2014/1/6,AG.SHF,open_short,4194,0,0
2014/1/6,AU.SHF,open_short,246.9,0,0
2014/1/6,FU.SHF,open_short,4480,0,0
2014/1/6,RB.SHF,open_short,3515,0,0
2014/1/20,ZN.SHF,close_long,15250,250,250
2014/1/20,AL.SHF,close_long,13825,-80,170
2014/1/20,PB.SHF,open_long,14100,-80,170
2014/1/20,WR.SHF,open_long,3311,-80,170
2014/2/10,AU.SHF,close_short,250.9,-4,166
2014/2/10,AG.SHF,close_short,4149,45,211
2014/2/10,RU.SHF,open_short,15880,45,211
2014/2/10,AL.SHF,open_short,13385,45,211
2014/2/24,PB.SHF,close_long,13910,-190,21
2014/2/24,BU.SHF,close_long,4350,66,87
2014/2/24,AU.SHF,open_long,261.45,66,87
2014/2/24,FU.SHF,open_long,4480,66,87
2014/2/24,FU.SHF,close_short,4480,0,87
2014/2/24,AL.SHF,close_short,13385,0,87
2014/2/24,BU.SHF,open_short,4350,0,87
2014/2/24,AG.SHF,open_short,4408,0,87
2014/3/10,AU.SHF,close_long,261.35,-0.1,86.9
2014/3/10,FU.SHF,close_long,4480,0,86.9
2014/3/10,PB.SHF,open_long,13615,0,86.9
2014/3/10,ZN.SHF,open_long,14775,0,86.9
2014/3/10,AG.SHF,close_short,4165,243,329.9
2014/3/10,FU.SHF,open_short,4480,243,329.9
2014/3/24,PB.SHF,close_long,13740,125,454.9
2014/3/24,ZN.SHF,close_long,14770,-5,449.9
2014/3/24,AU.SHF,open_long,263.35,-5,449.9
2014/3/24,RB.SHF,open_long,3213,-5,449.9
2014/3/24,RB.SHF,close_short,3213,302,751.9
2014/3/24,AL.SHF,open_short,12750,302,751.9
2014/4/8,RB.SHF,close_long,3414,201,952.9
2014/4/8,PB.SHF,open_long,13740,201,952.9
2014/4/8,FU.SHF,close_short,4096,384,1336.9
2014/4/8,RB.SHF,open_short,3414,384,1336.9
2014/4/22,RB.SHF,close_short,3244,170,1506.9
2014/4/22,FU.SHF,open_short,4096,170,1506.9
2014/5/8,PB.SHF,close_long,13880,140,1646.9
2014/5/8,AU.SHF,close_long,260.25,-3.1,1643.8
2014/5/8,BU.SHF,open_long,4150,-3.1,1643.8
2014/5/8,RB.SHF,open_long,3181,-3.1,1643.8
2014/5/8,BU.SHF,close_short,4150,200,1843.8
2014/5/8,AU.SHF,open_short,260.25,200,1843.8
2014/5/22,BU.SHF,close_long,4298,148,1991.8
2014/5/22,RB.SHF,close_long,3079,-102,1889.8
2014/5/22,AU.SHF,open_long,261,-102,1889.8
2014/5/22,AG.SHF,open_long,4131,-102,1889.8
2014/5/22,AU.SHF,close_short,261,-0.75,1889.05
2014/5/22,AL.SHF,close_short,13130,-380,1509.05
2014/5/22,BU.SHF,open_short,4298,-380,1509.05
2014/5/22,RB.SHF,open_short,3079,-380,1509.05
