2010-03-08 00:00:00,L1005.DCE,11620.0,2010-03-22 00:00:00,L1005.DCE,11335.0,0.024526678141135974
2010-05-12 00:00:00,L1009.DCE,10529.624190064795,2010-05-26 00:00:00,L1009.DCE,10110.583153347732,0.039796390559925954
2010-06-02 00:00:00,L1009.DCE,9759.758099352051,2010-06-28 00:00:00,L1009.DCE,9540.492440604752,0.022466300549176144
2010-07-05 00:00:00,L1009.DCE,9160.431965442764,2010-07-26 00:00:00,L1009.DCE,9555.110151187904,-0.04308510638297875
2010-08-02 00:00:00,L1101.DCE,9712.281774381125,2010-08-30 00:00:00,L1101.DCE,9749.26333277953,-0.00380771061399338
2010-09-13 00:00:00,L1101.DCE,9818.603754776539,2010-09-30 00:00:00,L1101.DCE,10012.756936368167,-0.019774011299435162
2010-10-14 00:00:00,L1101.DCE,10664.556903140056,2010-11-18 00:00:00,L1105.DCE,9933.702395775374,0.06853116486719578
2010-12-30 00:00:00,L1105.DCE,10197.896608428973,2011-01-07 00:00:00,L1105.DCE,9962.154080214992,0.023116779593463463
2011-01-14 00:00:00,L1105.DCE,10014.992922745712,2011-02-11 00:00:00,L1105.DCE,10043.44460718533,-0.0028409090909090884
2011-02-18 00:00:00,L1105.DCE,9856.476395153551,2011-03-04 00:00:00,L1105.DCE,9697.959867561392,0.016082474226804006
2011-03-18 00:00:00,L1105.DCE,9328.08796984635,2011-04-12 00:00:00,L1109.DCE,9273.98969661609,0.005799502899751396
2011-04-19 00:00:00,L1109.DCE,9003.498330464789,2011-04-26 00:00:00,L1109.DCE,9138.74401354044,-0.01502145922746777
2011-05-04 00:00:00,L1109.DCE,8960.992544355297,2011-06-09 00:00:00,L1109.DCE,8226.80169337319,0.08193186718413097
2011-06-23 00:00:00,L1109.DCE,8041.321899440868,2011-06-30 00:00:00,L1109.DCE,8192.02423201088,-0.018740989908697697
2011-07-21 00:00:00,L1201.DCE,8613.28181472226,2011-07-28 00:00:00,L1201.DCE,8952.358377389975,-0.039366709456568325
2011-08-04 00:00:00,L1201.DCE,8694.365340577584,2011-08-25 00:00:00,L1201.DCE,8005.155370807339,0.07927087749046206
2011-09-01 00:00:00,L1201.DCE,7971.984837502889,2011-09-08 00:00:00,L1201.DCE,8034.640289300183,-0.007859454461396147
2011-09-23 00:00:00,L1201.DCE,6958.440764311352,2011-09-30 00:00:00,L1201.DCE,6991.611297615802,-0.004766949152542351
2011-10-14 00:00:00,L1201.DCE,6936.327075441718,2011-10-28 00:00:00,L1201.DCE,7035.8386753550685,-0.014346439957491963
2011-11-11 00:00:00,L1205.DCE,6759.754618721893,2011-11-25 00:00:00,L1205.DCE,6614.953187495354,0.021421107628004105
2011-12-02 00:00:00,L1205.DCE,6872.770369923095,2011-12-23 00:00:00,L1205.DCE,6706.77848534633,0.024152106885919806
2012-02-07 00:00:00,L1205.DCE,7264.793756902265,2012-02-21 00:00:00,L1205.DCE,7257.73027245219,0.0009722897423432729
2012-03-20 00:00:00,L1209.DCE,7355.444474421035,2012-03-27 00:00:00,L1209.DCE,7443.941261248869,-0.012031466913466083
2012-04-06 00:00:00,L1209.DCE,7335.0221389992275,2012-04-20 00:00:00,L1209.DCE,7226.103016749587,0.014849187935034758
2012-04-27 00:00:00,L1209.DCE,7072.93550108603,2012-05-15 00:00:00,L1209.DCE,6664.488792649879,0.05774783445620781
2012-06-05 00:00:00,L1209.DCE,6368.364929033668,2012-06-12 00:00:00,L1209.DCE,6279.868142205835,0.013896312132549405
2012-07-18 00:00:00,L1301.DCE,6754.329724696557,2012-08-01 00:00:00,L1301.DCE,6512.383585304441,0.035820895522388076
2013-03-25 00:00:00,L1309.DCE,7203.869453822119,2013-04-01 00:00:00,L1309.DCE,7032.185243769161,0.02383222116301232
2017-02-07 00:00:00,L1705.DCE,12393.597962646176,2017-02-14 00:00:00,L1705.DCE,12730.184522252473,-0.027158098933074682
2017-02-28 00:00:00,L1705.DCE,11564.152512187798,2017-03-07 00:00:00,L1705.DCE,11606.225832138585,-0.003638253638253599
2017-04-13 00:00:00,L1709.DCE,10861.205988742397,2017-04-20 00:00:00,L1709.DCE,10608.899212455239,0.023230088495575257
2017-06-06 00:00:00,L1709.DCE,10686.994167020312,2017-06-13 00:00:00,L1709.DCE,10729.045296401504,-0.003934794828555317
2017-09-19 00:00:00,L1801.DCE,11515.524682591265
